,city,lon,lat,humidity,pressure,country,max temperature,wind speed,cloudiness,date
75,Leningradskiy,178.4167,69.3833,96,1000,RU,24.78,15.64,100,1634757547
76,Los Llanos de Aridane,-17.9182,28.6585,83,1021,ES,71.35,12.66,32,1634757547
77,Mahébourg,57.7,-20.4081,73,1021,MU,75.49,6.91,75,1634757548
78,Khatanga,102.5,71.9667,96,996,RU,21.45,4.27,100,1634757549
79,Belmonte,-38.8828,-15.8631,73,1011,BR,82.9,10.49,39,1634757549
80,Kavieng,150.7967,-2.5744,78,1010,PG,81.28,7.25,78,1634757550
81,Lagos,3.75,6.5833,86,1012,NG,82.72,4.09,100,1634757440
82,New Norfolk,147.0587,-42.7826,76,1020,AU,49.5,2.59,56,1634757550
83,Punta Arenas,-70.9167,-53.15,35,1000,CL,53.71,32.21,20,1634757551
84,Mar del Plata,-57.5575,-38.0023,1,1019,AR,64.42,15.01,20,1634757329
85,Sørland,12.6934,67.667,98,972,NO,37.26,26.13,100,1634757552
86,Tommot,126.2925,58.9564,93,1017,RU,31.1,10.65,100,1634757552
87,Berbérati,15.7922,4.2612,99,1014,CF,68.54,1.14,100,1634757552
88,Tyret’ Pervaya,102.3106,53.6703,80,1028,RU,32.0,5.37,5,1634757553
89,Hong Kong,114.1577,22.2855,86,1012,HK,80.33,1.99,95,1634757459
90,Vestmanna,-7.1664,62.1564,70,995,FO,41.92,32.21,75,1634757554
91,Ndélé,20.6473,8.4109,95,1014,CF,71.46,2.75,100,1634757555
92,Tevaitoa,-151.5,-16.7833,80,1016,PF,78.67,10.02,1,1634757555
93,Fortuna,-124.1573,40.5982,69,1015,US,63.66,7.0,75,1634757300
94,Syracuse,15.2792,37.0881,73,1026,IT,69.39,10.67,0,1634757556
95,Bredasdorp,20.0403,-34.5322,95,1014,ZA,62.28,10.8,43,1634757556
96,Necochea,-58.7368,-38.5473,56,1018,AR,68.7,10.04,0,1634757557
97,Natal,-35.2094,-5.795,70,1011,BR,84.85,13.8,40,1634757557
98,Ola,151.2833,59.5833,47,1010,RU,13.12,5.55,0,1634757558
99,Chokurdakh,147.9167,70.6333,95,1012,RU,-14.85,2.98,99,1634757558
100,Lere,8.5726,10.387,74,1013,NG,73.42,6.08,81,1634757559
101,Suntar,117.6319,62.1444,95,1016,RU,32.45,6.6,99,1634757560
102,Magaria,8.9099,12.9983,23,1009,NE,89.06,1.79,2,1634757560
103,Kayerkan,87.7602,69.3497,94,995,RU,31.06,23.49,100,1634757561
104,Camapuã,-54.0439,-19.5314,44,1010,BR,84.42,3.04,87,1634757562
105,Santa Maria,-53.8069,-29.6842,49,1016,BR,71.89,7.36,21,1634757562
106,Flinders,150.8552,-34.5833,91,1011,AU,59.38,1.01,41,1634757562
107,Moroni,43.2551,-11.7022,83,1018,KM,76.24,2.46,100,1634757563
108,Dikson,80.5464,73.5069,65,999,RU,26.67,8.9,59,1634757563
109,Northam,-4.2167,51.0333,90,992,GB,54.01,15.61,100,1634757564
110,Poli,36.8,-3.3333,71,1018,TZ,63.19,6.82,97,1634757565
111,Domoni,44.5319,-12.2569,79,1017,KM,77.2,4.36,55,1634757566
112,Tocopilla,-70.1979,-22.092,58,1017,CL,66.85,7.74,21,1634757566
113,Horta,-28.6333,38.5333,68,1026,PT,69.44,5.75,20,1634757566
114,Aswān,32.907,24.0934,24,1016,EG,83.5,19.57,0,1634757567
115,Dalvik,-18.5286,65.9702,76,1010,IS,22.93,9.44,22,1634757568
116,Hobyo,48.5268,5.3505,83,1013,SO,78.37,17.31,96,1634757568
117,Carbonia,8.5222,39.1672,82,1023,IT,65.05,6.53,6,1634757569
118,Nālūt,10.85,30.3333,46,1021,LY,72.1,17.98,100,1634757570
119,Labuhan,112.2051,-6.8844,81,1010,ID,79.75,7.58,22,1634757570
120,Alexandria,29.9553,31.2156,56,1022,EG,73.36,11.5,40,1634757524
121,Dahuk,42.994,36.8695,40,1017,IQ,64.56,2.95,0,1634757571
122,Lebu,-73.65,-37.6167,78,1020,CL,57.45,8.43,36,1634757572
123,Smithers,-127.1743,54.7804,87,1002,CA,41.32,0.0,90,1634757572
124,Saint-Félicien,-72.4491,48.6501,87,1012,CA,50.5,2.3,75,1634757573
125,Rey Bouba,14.1786,8.6724,79,1011,CM,78.93,0.49,100,1634757573
126,Yerbogachën,108.0108,61.2767,93,1019,RU,36.14,9.66,100,1634757574
127,Mount Gambier,140.7667,-37.8333,43,1010,AU,57.45,5.97,29,1634757575
128,Alofi,-169.9187,-19.0595,78,1019,NU,75.09,13.8,66,1634757575
129,Port Lincoln,135.8667,-34.7333,89,1010,AU,58.84,11.56,100,1634757576
130,Angoche,39.9086,-16.2325,71,1019,MZ,75.87,13.09,91,1634757576
131,Sur,59.5289,22.5667,72,1012,OM,80.01,15.19,57,1634757577
132,Pierre,-100.351,44.3683,86,1019,US,39.85,1.99,90,1634757578
133,Geraldton,114.6,-28.7667,88,1015,AU,63.01,11.5,75,1634757579
134,Yar-Sale,70.8333,66.8333,89,1004,RU,28.9,4.74,61,1634757297
135,Chapais,-74.8492,49.7834,91,1012,CA,40.78,6.58,100,1634757580
136,Wattegama,81.4808,6.7989,91,1012,LK,75.99,3.02,100,1634757581
137,Kaseda-shirakame,130.3167,31.4167,59,1017,JP,63.1,3.22,99,1634757581
138,Santa Maria do Suaçuí,-42.4142,-18.1903,89,1012,BR,71.49,5.37,99,1634757582
139,Vao,167.4833,-22.6667,94,1015,NC,69.84,9.71,100,1634757582
140,Mersing,103.8405,2.4312,100,1011,MY,73.31,5.75,84,1634757583
141,Kumul,93.45,42.8,18,1019,CN,59.29,2.06,100,1634757394
142,Anadyr,177.4833,64.75,93,992,RU,21.7,13.42,90,1634757584
143,Concepción,-73.0498,-36.827,82,1021,CL,57.0,11.5,90,1634757420
144,Norman Wells,-126.8329,65.282,60,1001,CA,35.64,11.5,75,1634757585
145,Kilindoni,39.6668,-7.9139,78,1017,TZ,77.74,13.85,26,1634757586
146,Muros,-9.0603,42.7762,88,1021,ES,65.23,12.86,63,1634757586
147,Vardø,31.1107,70.3705,64,994,NO,33.78,20.71,75,1634757587
148,Sedalia,-93.2283,38.7045,68,1016,US,70.88,13.8,90,1634757475
149,Barra Patuca,-84.2833,15.8,71,1012,HN,84.72,7.96,73,1634757588
150,Dingle,122.6711,10.9995,93,1011,PH,76.1,4.61,75,1634757588
151,Baijiantan,85.1833,45.6333,24,1019,CN,51.33,2.91,3,1634757589
152,Lorengau,147.2712,-2.0226,78,1010,PG,80.87,6.04,99,1634757590
153,São Filipe,-24.4956,14.8961,59,1013,CV,83.12,7.72,0,1634757591
154,Severnyy-Kospashskiy,57.8008,59.0925,88,1011,RU,30.6,3.02,28,1634757591
155,Kaeo,173.7833,-35.1,96,1024,NZ,60.33,12.95,100,1634757592
156,Värnamo,14.04,57.186,88,989,SE,53.87,13.44,100,1634757593
157,Tasiilaq,-37.6368,65.6145,57,1009,GL,32.16,10.65,100,1634757594
158,Isangel,169.2667,-19.55,89,1014,VU,75.24,8.46,100,1634757594
159,Choma,26.9531,-16.8065,50,1016,ZM,70.05,9.6,23,1634757595
160,Diamantino,-56.4461,-14.4086,57,1009,BR,86.4,0.89,73,1634757595
161,Pitimbu,-34.8086,-7.4706,71,1011,BR,84.79,13.53,7,1634757596
162,Saskylakh,114.0833,71.9167,100,1002,RU,2.98,4.88,97,1634757586
163,Milan,9.1895,45.4643,85,1020,IT,61.88,2.3,75,1634757597
164,San Fernando del Valle de Catamarca,-65.7852,-28.4696,32,1004,AR,87.04,5.99,0,1634757597
165,Torbay,-52.7314,47.6666,95,997,CA,50.29,11.5,90,1634757598
166,Lakes Entrance,147.981,-37.8811,90,1018,AU,47.16,6.17,8,1634757599
