,city,lon,lat,humidity,pressure,country,max temperature,wind speed,cloudiness,date
330,Nakasongola,32.4564,1.3089,92,1013,UG,67.24,4.18,100,1634757699
331,Darnah,22.6367,32.767,71,1026,LY,68.31,11.39,74,1634757700
332,Kruisfontein,24.7314,-34.0033,89,1014,ZA,63.88,6.04,19,1634757699
333,Pevek,170.3133,69.7008,93,1006,RU,18.45,14.34,100,1634757701
334,Porto-Novo,2.6036,6.4965,82,1012,BJ,82.22,6.76,100,1634757702
335,Ekhabi,142.9671,53.5102,87,1015,RU,25.9,9.64,42,1634757702
336,Tiruchchendur,78.1167,8.4833,75,1010,IN,82.8,3.71,100,1634757703
337,Ormara,64.6357,25.2088,71,1013,PK,79.7,9.86,5,1634757703
338,Mabaruma,-59.7833,8.2,58,1010,GY,87.3,6.78,33,1634757704
339,Padang,100.3543,-0.9492,89,1013,ID,75.25,3.78,100,1634757705
340,Souillac,57.5167,-20.5167,73,1021,MU,75.58,6.91,75,1634757705
341,Opuwo,13.84,-18.0607,37,1013,NA,72.88,10.47,0,1634757706
342,Kutum,24.6667,14.2,20,1013,SD,80.31,12.68,60,1634757706
343,Deniliquin,144.9667,-35.5333,68,1015,AU,58.35,13.67,100,1634757707
344,Thornhill,-3.7667,55.2333,78,992,GB,51.31,11.34,84,1634757707
345,Lokosovo,74.8167,61.1333,94,1005,RU,39.09,5.79,100,1634757708
346,Saldanha,17.9442,-33.0117,88,1012,ZA,60.85,25.14,100,1634757708
347,Kudahuvadhoo,72.8944,2.6708,69,1013,MV,82.69,13.4,57,1634757709
348,Porbandar,69.6093,21.6422,61,1014,IN,79.43,7.16,3,1634757710
349,Andenes,16.1194,69.3143,69,980,NO,31.98,33.38,75,1634757711
350,High Level,-117.136,58.5169,70,1011,CA,41.11,13.8,1,1634757711
351,Rocha,-54.3333,-34.4833,68,1020,UY,63.28,10.63,100,1634757712
352,Lagoa,-27.9833,39.05,60,1027,PT,68.83,1.92,51,1634757712
353,Port Augusta,137.7667,-32.5,73,1011,AU,58.71,7.07,0,1634757713
354,Biloela,150.5,-24.4167,95,1013,AU,62.35,2.91,100,1634757713
355,Mayo,-76.5119,38.8876,43,1012,US,79.21,3.0,1,1634757714
356,Soto la Marina,-98.2167,23.7667,51,1015,MX,90.77,7.23,0,1634757715
357,Krapivinskiy,86.8133,54.9992,79,1018,RU,40.64,4.43,53,1634757715
358,Tual,132.75,-5.6667,78,1009,ID,81.59,2.8,100,1634757716
359,Rio Grande,-52.0986,-32.035,59,1021,BR,68.11,12.84,29,1634757681
360,Khorixas,14.9667,-20.3667,39,1016,NA,65.01,8.66,5,1634757717
361,Sennar,33.5672,13.5691,40,1009,SD,88.68,13.15,80,1634757718
362,Chernyshevskiy,112.4714,63.0128,97,1014,RU,32.81,10.85,100,1634757718
363,Amahai,128.9167,-3.3333,86,1010,ID,77.76,3.71,88,1634757719
364,Nicoya,-85.452,10.1483,79,1011,CR,85.55,3.51,74,1634757719
365,Beyneu,55.2,45.3167,65,1022,KZ,43.97,15.19,61,1634757720
366,Hamilton,-84.5333,39.1834,54,1020,US,74.35,1.99,1,1634757721
367,Zachary,-91.1565,30.6485,78,1019,US,85.69,5.75,90,1634757721
368,General Roca,-67.5833,-39.0333,11,1008,AR,90.63,10.83,6,1634757723
369,Toktogul,72.9402,41.8708,43,1019,KG,58.69,1.28,93,1634757723
370,Newport,-2.9984,51.5877,90,992,GB,55.69,0.67,100,1634757431
371,Banjar,114.9675,-8.19,90,1012,ID,82.26,5.73,100,1634757724
372,Walvis Bay,14.5053,-22.9575,77,1018,NA,62.1,5.75,21,1634757724
373,Varhaug,5.6457,58.6147,81,983,NO,51.89,22.64,100,1634757725
374,Indian Harbour Beach,-80.5884,28.1489,59,1021,US,85.06,5.99,40,1634757725
375,Jamame,42.7506,0.0722,84,1015,SO,77.45,8.34,100,1634757726
376,The Valley,-63.0578,18.217,89,1015,AI,87.66,9.22,75,1634757726
377,Valley City,-98.0032,46.9233,65,1019,US,41.99,23.02,75,1634757604
378,Banda Aceh,95.3222,5.5577,77,1012,ID,78.89,2.59,100,1634757727
379,Saint-François,3.9054,46.4154,65,1010,FR,65.68,16.11,0,1634757728
380,Bengkulu,102.2655,-3.8004,92,1012,ID,74.64,6.49,100,1634757729
381,Hermiston,-119.2895,45.8404,39,1012,US,69.42,18.41,1,1634757729
382,Indianola,-93.5574,41.3581,73,1009,US,69.71,14.88,51,1634757675
383,Hay River,-115.7999,60.8156,57,1013,CA,44.58,4.61,40,1634757557
384,Coquimbo,-71.3436,-29.9533,63,1020,CL,62.33,14.97,40,1634757472
385,Hambantota,81.1185,6.1241,83,1012,LK,79.16,9.42,99,1634757731
386,Champerico,-91.9167,14.3,84,1012,GT,87.35,10.78,100,1634757732
387,Tilichiki,166.1,60.4667,87,1002,RU,6.91,5.41,99,1634757733
388,Progreso,-89.6667,21.2833,78,1014,MX,89.71,12.57,85,1634757733
389,Ixtapa,-105.2,20.7,70,1013,MX,88.23,11.5,20,1634757734
390,Yangi Marg`ilon,71.7189,40.4272,39,1018,UZ,61.52,4.61,100,1634757608
391,São Paulo de Olivença,-68.8725,-3.3783,97,1010,BR,73.24,2.62,100,1634757735
392,Harboøre,8.1807,56.6175,86,988,DK,54.16,21.5,100,1634757736
393,Prince Rupert,-130.3201,54.3161,71,996,CA,51.49,12.66,100,1634757687
394,Clyde River,-68.5914,70.4692,86,1025,CA,32.23,9.22,75,1634757737
395,Touros,-35.4608,-5.1989,70,1011,BR,85.1,12.17,100,1634757737
396,Portland,-122.6762,45.5234,81,1014,US,60.93,3.0,75,1634757488
397,Elizabeth City,-76.2511,36.2946,39,1022,US,79.02,4.0,1,1634757738
398,Morropón,-79.9689,-5.1822,45,1011,PE,88.07,5.12,27,1634757739
399,Fare,-151.0167,-16.7,76,1016,PF,79.66,11.63,10,1634757740
400,San Vicente,-54.1333,-26.6167,31,1013,AR,77.85,1.86,12,1634757740
401,Włoszczowa,19.9659,50.8526,52,1010,PL,59.49,13.56,100,1634757741
402,Port Blair,92.75,11.6667,83,1012,IN,80.58,5.12,100,1634757742
403,Petropavlovsk-Kamchatskiy,158.6483,53.0452,73,1004,RU,18.19,11.18,0,1634757742
404,Lichinga,35.2406,-13.3128,82,1024,MZ,64.49,13.8,20,1634757743
405,Saint George,-113.5841,37.1041,33,1024,US,75.67,1.99,1,1634757743
406,Kinsale,-8.5306,51.7075,81,999,IE,47.57,8.05,20,1634757744
407,Freeport,-73.5832,40.6576,43,1015,US,79.99,7.0,1,1634757672
408,Zhigansk,123.3711,66.7697,93,1009,RU,19.78,5.08,95,1634757744
409,Penzance,-5.5371,50.1186,86,993,GB,52.77,34.43,100,1634757745
410,Samaná,-69.3369,19.2056,74,1014,DO,89.82,0.0,75,1634757745
411,Mareeba,145.4333,-17.0,95,1012,AU,75.92,0.96,19,1634757746
412,Matola,32.4589,-25.9622,68,1022,MZ,68.52,6.91,0,1634757746
413,Cabedelo,-34.8339,-6.9811,72,1011,BR,84.87,14.34,6,1634757747
414,Abalak,68.5944,58.1286,90,1002,RU,40.46,6.49,100,1634757747
415,Qeshm,56.2719,26.9581,68,1011,IR,80.49,10.02,1,1634757748
416,Sayyan,44.3244,15.1718,32,1020,YE,61.03,9.51,100,1634757748
417,Yeppoon,150.7333,-23.1333,91,1012,AU,62.38,0.72,8,1634757677
418,Ovalle,-71.2003,-30.5983,34,1017,CL,75.22,9.26,0,1634757552
419,Lesnoy,63.0784,57.6198,83,1006,RU,34.11,9.37,100,1634757749
420,Neuquén,-68.0591,-38.9516,23,1009,AR,85.89,9.22,0,1634757750
421,Miguel Hidalgo,-99.2028,19.4225,49,1017,MX,76.93,7.0,75,1634757599
422,Istanbul,28.9833,41.0351,72,1026,TR,59.07,9.22,0,1634757539
423,Ossora,163.0719,59.2353,68,1003,RU,18.81,6.22,95,1634757751
424,Palmer,-72.3287,42.1584,50,1013,US,75.07,3.0,75,1634757644
425,Bathsheba,-59.5167,13.2167,70,1013,BB,86.61,17.27,75,1634757752
426,Vostok,135.8833,46.4856,84,1022,RU,15.1,3.56,5,1634757753
427,Ucluelet,-125.5528,48.9329,90,1006,CA,55.09,1.01,93,1634757549
428,Sitka,-135.33,57.0531,90,993,US,44.8,9.4,100,1634757754
429,Moose Factory,-80.6094,51.2585,60,1017,CA,42.8,9.22,75,1634757754
430,Paphos,32.4167,34.7667,73,1020,CY,69.71,5.75,0,1634757755
431,Leh,77.5833,34.1667,33,1019,IN,44.06,5.12,0,1634757756
432,Kalat,66.5916,29.0225,23,1017,PK,58.64,2.42,0,1634757756
433,Marzuq,46.4667,14.4,52,1015,YE,76.23,2.13,47,1634757757
434,Ābādān,48.3043,30.3392,36,1015,IR,78.75,4.61,0,1634757758
435,Maceió,-35.7353,-9.6658,66,1011,BR,87.24,16.11,20,1634757550
436,Ust-Maya,134.5333,60.4167,98,1008,RU,26.73,2.71,100,1634757759
437,Flin Flon,-101.865,54.7682,56,1028,CA,39.04,4.61,75,1634757759
438,San Jose,-121.895,37.3394,61,1018,US,69.91,1.01,90,1634757608
439,Garoowe,48.4845,8.4054,64,1013,SO,78.89,14.85,95,1634757760
440,Vanimo,141.3028,-2.6741,93,1010,PG,76.39,3.91,100,1634757761
441,Tortolì,9.6572,39.9256,75,1024,IT,59.99,6.89,70,1634757761
442,Arrondissement de Saint-Denis,2.3333,48.9167,80,1000,FR,65.17,5.01,90,1634757762
443,Baharly,57.4316,38.4362,77,1023,TM,59.63,8.48,100,1634757762
444,Kondinskoye,67.41,59.6481,92,1006,RU,35.4,8.03,100,1634757763
445,Tiznit Province,-9.5,29.5833,35,1021,MA,73.51,2.24,7,1634757763
446,Kavaratti,72.642,10.5669,74,1012,IN,82.11,11.21,100,1634757557
447,Forestville,-76.875,38.8451,40,1019,US,78.42,11.5,1,1634757764
448,Dunmore Town,-76.65,25.5,65,1018,BS,80.73,19.08,19,1634757764
449,Nova Serrana,-44.9836,-19.8761,80,1012,BR,71.62,7.58,93,1634757765
450,Alausí,-78.8333,-2.2,81,1015,EC,71.38,2.93,99,1634757765
451,Belyy Yar,91.3903,53.6039,93,1020,RU,24.69,2.24,56,1634757766
452,Kongoussi,-1.5347,13.3258,34,1009,BF,91.36,6.67,59,1634757766
453,Tornio,24.1466,65.8481,98,975,FI,32.02,13.73,100,1634757767
454,Villa Carlos Paz,-64.4978,-31.4241,24,1012,AR,85.06,8.01,4,1634757505
455,Maxixe,35.3472,-23.8597,77,1023,MZ,66.02,0.0,0,1634757768
456,Izumo,132.7667,35.3667,72,1020,JP,48.15,6.22,100,1634757768
457,Kiryat Gat,34.7642,31.61,70,1021,IL,72.28,4.59,3,1634757561
458,Katsuura,140.3,35.1333,53,1014,JP,58.19,11.3,100,1634757590
459,Mlimba,35.8167,-8.8,51,1016,TZ,76.32,3.06,13,1634757771
460,Caraquet,-64.9386,47.7941,78,1009,CA,54.34,4.45,17,1634757771
461,Constantine,6.6147,36.365,44,1025,DZ,62.01,8.05,0,1634757728
462,Hasaki,140.8333,35.7333,56,1014,JP,50.4,14.05,100,1634757772
463,Capula,-101.8,19.7,42,1015,MX,60.21,3.83,20,1634757772
464,Huarmey,-78.1522,-10.0681,72,1013,PE,71.01,11.45,42,1634757773
465,Lipari,14.954,38.4674,64,1026,IT,65.79,2.28,0,1634757774
466,Butte,-121.5677,39.6499,87,1021,US,60.85,8.05,90,1634757774
467,Bridgetown,-59.6167,13.1,70,1013,BB,86.49,17.27,75,1634757585
468,Kongolo,27.0,-5.3833,91,1012,CD,72.97,1.86,100,1634757775
469,Havre-St-Pierre,-63.5986,50.2334,87,1009,CA,50.59,9.22,90,1634757776
470,San Felipe,-68.7425,10.3399,63,1010,VE,87.22,5.21,99,1634757776
471,Rawson,-65.1023,-43.3002,19,1006,AR,83.03,32.12,2,1634757777
472,Shenzhen,114.0683,22.5455,89,1013,CN,80.22,2.75,80,1634757505
473,Port Antonio,-76.4612,18.18,75,1014,JM,85.91,4.76,98,1634757777
474,Erenhot,111.9767,43.6475,38,1027,CN,37.02,7.36,0,1634757724
475,Miyako,141.9525,39.6367,77,1011,JP,49.8,9.35,60,1634757778
476,Cayenne,-52.3333,4.9333,75,1010,GF,89.64,5.99,12,1634757779
477,Atbasar,68.3333,51.8,63,1006,KZ,49.53,13.58,100,1634757780
478,San-Pédro,-6.6363,4.7485,91,1013,CI,77.2,7.16,27,1634757780
479,Margate,1.3862,51.3813,80,989,GB,57.9,1.99,100,1634757781
480,Belaya Gora,146.4167,68.5333,97,1012,RU,-10.59,1.97,29,1634757652
481,Quatre Cocos,57.7625,-20.2078,79,1020,MU,75.31,12.06,54,1634757783
482,Zermatt,7.7491,46.0213,92,1020,CH,44.19,7.31,9,1634757784
483,Pacasmayo,-79.5714,-7.4006,74,1013,PE,69.67,14.2,83,1634757785
484,Kudat,116.8477,6.8837,94,1011,MY,76.93,9.22,20,1634757785
485,Abancay,-72.8814,-13.6339,46,1012,PE,74.44,7.94,99,1634757786
486,Semey,80.2275,50.4111,47,1015,KZ,48.0,10.89,95,1634757787
487,Kupang,123.5833,-10.1667,83,1010,ID,78.35,4.05,95,1634757787
488,Lhokseumawe,97.1507,5.1801,91,1012,ID,76.01,6.89,100,1634757776
489,Sangar,127.4739,63.9242,98,1012,RU,8.08,2.59,96,1634757788
490,Narsaq,-46.05,60.9167,38,1019,GL,34.02,3.13,0,1634757788
491,Ust'-Kishert',57.2495,57.3654,83,1011,RU,32.67,8.41,100,1634757789
492,Plettenberg Bay,23.3716,-34.0527,78,1013,ZA,63.66,4.12,15,1634757789
493,Hirado,129.5531,33.3597,58,1017,JP,59.36,10.31,100,1634757790
494,Dunedin,170.5036,-45.8742,73,1034,NZ,50.81,1.01,58,1634757790
495,Santa Rosa,121.1114,14.3122,83,1011,PH,81.1,4.7,98,1634757791
496,Lucea,-78.1736,18.451,76,1013,JM,85.86,11.7,100,1634757791
497,Eureka,-124.1637,40.8021,83,1014,US,63.93,4.0,100,1634757713
498,Sorong,131.25,-0.8833,83,1009,ID,79.75,7.27,100,1634757792
499,Diffa,12.6113,13.3154,19,1009,NE,91.56,7.54,8,1634757793
500,Malindi,40.1191,-3.2175,78,1015,KE,78.96,10.36,20,1634757794
501,Beian,9.5683,63.6559,87,971,NO,47.55,19.57,75,1634757794
502,Gloggnitz,15.9389,47.6749,79,1013,AT,58.24,4.52,100,1634757795
503,Taoudenni,-3.9836,22.6783,19,1015,ML,80.87,9.89,1,1634757795
504,Mogadishu,45.3438,2.0371,80,1015,SO,78.8,11.45,93,1634757796
505,Uarini,-65.1083,-2.99,56,1008,BR,78.75,1.52,100,1634757797
506,Verāval,70.3667,20.9,67,1014,IN,78.73,7.56,7,1634757797
507,Takhtamygda,123.5667,54.1,72,1021,RU,29.61,2.68,78,1634757798
508,Naze,129.4833,28.3667,68,1015,JP,66.72,7.78,100,1634757798
509,Sulangan,123.7228,11.1373,78,1010,PH,82.71,10.83,94,1634757799
510,Buraidah,43.975,26.326,24,1016,SA,81.05,11.18,0,1634757610
511,Marsá Maţrūḩ,27.2453,31.3525,64,1024,EG,71.8,16.11,75,1634757694
512,Ocampo,-101.5,21.65,38,1016,MX,74.28,10.38,0,1634757800
513,Pangkalanbuun,111.6167,-2.6833,97,1011,ID,73.9,0.87,85,1634757801
514,Ahmednagar,74.7333,19.0833,58,1014,IN,70.99,7.02,23,1634757802
515,Sistranda,8.834,63.7256,78,973,NO,46.9,26.35,100,1634757734
516,Lahad Datu,118.327,5.0268,94,1010,MY,75.36,4.56,100,1634757802
517,Kingaroy,151.8333,-26.5333,100,1014,AU,51.84,0.0,40,1634757803
518,Quzhou,118.8686,28.9594,97,1021,CN,53.02,3.56,100,1634757803
519,Grand-Lahou,-5.0242,5.1367,86,1012,CI,78.73,9.91,84,1634757804
520,Brusturoasa,26.2,46.5167,81,1023,RO,50.32,6.33,11,1634757805
521,São João da Barra,-41.0511,-21.6403,92,1017,BR,64.49,10.29,100,1634757806
522,Soe,124.284,-9.8607,74,1011,ID,67.78,3.02,26,1634757671
523,Broken Hill,141.4333,-31.95,23,1010,AU,68.2,16.2,64,1634757807
524,Poronaysk,143.1167,49.2167,79,1017,RU,25.43,8.01,63,1634757807
525,Nabire,135.4833,-3.3667,92,1010,ID,74.95,3.71,99,1634757808
526,Jardim,-56.1381,-21.4803,23,1009,BR,90.99,5.32,0,1634757809
527,Abhā,42.5053,18.2164,22,1029,SA,62.85,6.91,0,1634757652
528,Maniitsoq,-52.9,65.4167,70,1023,GL,33.53,9.33,9,1634757810
529,Sept-Îles,-66.3821,50.2001,79,1009,CA,51.06,3.0,75,1634757667
530,Mahon,4.2658,39.8885,72,1020,ES,64.96,4.61,20,1634757811
531,Lata,-8.3327,40.1629,96,1023,PT,64.81,2.57,3,1634757811
532,Aykhal,111.5,66.0,98,1006,RU,32.49,18.52,100,1634757812
533,Ozatlán,-88.5,13.3833,75,1012,SV,85.3,4.34,74,1634757813
534,La Asuncion,-63.8628,11.0333,34,1012,VE,98.33,16.11,28,1634757814
535,Roura,-52.3274,4.7263,58,1010,GF,89.51,11.5,40,1634757814
536,Ballarat,143.8496,-37.5662,67,1014,AU,56.5,10.36,100,1634757815
537,Moranbah,148.0466,-22.0016,86,1011,AU,68.09,5.93,71,1634757815
538,Waipawa,175.5153,-41.4122,74,1031,NZ,50.04,2.98,100,1634757789
539,Awallan,121.913,17.9244,95,1013,PH,73.96,2.68,13,1634757816
540,Saint-Nazaire,-2.2,47.2833,78,1002,FR,59.04,29.93,75,1634757817
541,Ichinohe,141.3017,40.2069,89,1012,JP,45.57,10.56,100,1634757818
542,Caconda,15.0667,-13.7333,89,1016,AO,61.54,4.0,100,1634757818
543,Caravelas,-39.2481,-17.7125,91,1012,BR,73.6,10.25,100,1634757819
